Original Stub Packed With UPX

Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
00413478  push installer_1vs100.4AC3F8                                      "First parameter is not an absolute path"
00413935  push installer_1vs100.4AC424                                      L"rb"
00413B4A  push installer_1vs100.4AB8F8                                      "string too long"
00413CDD  mov esi,installer_1vs100.4AC36C                                   ".."
0041445E  push installer_1vs100.4AC42C                                      "Cannot create temporal directory"
004145F7  push installer_1vs100.4AC450                                      "Cannot create temporal file"
0041480B  push installer_1vs100.4AC424                                      L"rb"
00414828  push installer_1vs100.4AC46C                                      L"wb"
004150A3  mov eax,installer_1vs100.4AC4C8                                   "Error creating, signaling or waiting for semaphore"
004150A9  mov eax,installer_1vs100.4AC49C                                   "Error creating, locking or unlocking mutex"
004150AF  mov eax,installer_1vs100.4AC474                                   "Error starting or waiting for thread"
00417878  mov dword ptr ds:[esi],installer_1vs100.4AC6DC                    "pyA"
00417998  mov dword ptr ds:[esi],installer_1vs100.4AC6DC                    "pyA"
00417A67  mov dword ptr ss:[esp+C],installer_1vs100.4AC6DC                  "pyA"
00417A9A  mov dword ptr ss:[esp+C],installer_1vs100.4AC6DC                  "pyA"
00417E88  push installer_1vs100.4AC72C                                      L"Advapi32.dll"
00417E97  push installer_1vs100.4AC714                                      "RegOpenKeyTransactedW"
00417EF8  push installer_1vs100.4AC72C                                      L"Advapi32.dll"
00417F07  push installer_1vs100.4AC748                                      "RegCreateKeyTransactedW"
00417F78  push installer_1vs100.4AC72C                                      L"Advapi32.dll"
00417F87  push installer_1vs100.4AC760                                      "RegDeleteKeyTransactedW"
004180C4  push installer_1vs100.4AC72C                                      L"Advapi32.dll"
004180D3  push installer_1vs100.4AC778                                      "RegDeleteKeyExW"
00418AE2  push installer_1vs100.4AC978                                      L"urlmon.dll"
00418AFD  push installer_1vs100.4AC95C                                      "CoInternetIsFeatureEnabled"
00418B05  push installer_1vs100.4AC940                                      "CoInternetSetFeatureEnabled"
00419E14  push installer_1vs100.4AC978                                      L"urlmon.dll"
00419E25  push installer_1vs100.4AC940                                      "CoInternetSetFeatureEnabled"
00419E93  push installer_1vs100.4ACA88                                      L"OnClose"
0041A012  push installer_1vs100.4ACA80                                      "OnClose"
0041A0A2  push installer_1vs100.4ACA80                                      "OnClose"
0041A56E  push installer_1vs100.4ACAF8                                      L"APPID"
0041A779  push installer_1vs100.4AC7F8                                      L"HKCR"
0041A7A3  push installer_1vs100.4ACB38                                      L"HKCU\r\n{\tSoftware\r\n\t{\r\n\t\tClasses"
0041A829  push installer_1vs100.4ACB20                                      L"\r\n\t}\r\n}\r\n"
0041AAAA  mov dword ptr ss:[esp+34],installer_1vs100.4ACBB8                 L"WBC_WClass"
0041AB07  push installer_1vs100.4ACBA4                                      L"Installer"
0041AB0C  push installer_1vs100.4ACBB8                                      L"WBC_WClass"
0041B44A  push installer_1vs100.4AC5E4                                      L"Delete"
0041B45C  push installer_1vs100.4AC608                                      L"ForceRemove"
0041B5A1  push installer_1vs100.4AC5F4                                      L"NoRemove"
0041B5C7  push installer_1vs100.4AC620                                      L"Val"
0041BDBD  push installer_1vs100.4ABC5C                                      "vector<T> too long"
0041C14C  push installer_1vs100.4ACC04                                      L"http"
0041C1DF  push installer_1vs100.4AC990                                      L"AtlAxWin100"
0041C1ED  push installer_1vs100.4AC9A8                                      L"AtlAxWinLic100"
0041C346  push installer_1vs100.4ABC5C                                      "vector<T> too long"
0041C488  push installer_1vs100.4ACFDC                                      L"#32770"
0041F993  push installer_1vs100.4AD0F0                                      L"AXWIN"
00420BCB  mov dword ptr ds:[esi+24],installer_1vs100.4AD19C                 "0\fB"
00420C1D  push installer_1vs100.4AD24C                                      L"ATL:%p"
00420D59  mov dword ptr ds:[esi+24],installer_1vs100.4AD19C                 "0\fB"
0042194E  push installer_1vs100.4AD2E8                                      L"Module"
0042196B  push installer_1vs100.4AD2D0                                      L"Module_Raw"
00421984  push installer_1vs100.4AD2BC                                      L"REGISTRY"
00421BCC  push installer_1vs100.4AD2E8                                      L"Module"
00421BE9  push installer_1vs100.4AD2D0                                      L"Module_Raw"
00421C05  push installer_1vs100.4AD2BC                                      L"REGISTRY"
00421D2D  push installer_1vs100.4AD2F8                                      L"\"ACIDINTERNETPROTOCOL\""
00421E33  push installer_1vs100.4AD334                                      ".acid.js"
00421F14  push installer_1vs100.4AD328                                      "JavaScript"
0042226A  push installer_1vs100.4AD340                                      L"http://"
00422A60  mov eax,installer_1vs100.4AD4BC                                   "WebBrowser"
00422F6A  push installer_1vs100.4AD4C8                                      L"AXWIN Frame Window"
00422FD1  push installer_1vs100.4AD4F0                                      L"AXWIN UI Window"
004232A6  push installer_1vs100.4AD550                                      "/config.json"
00423382  push installer_1vs100.4AD548                                      "skin"
004233D1  push installer_1vs100.4AD540                                      "borders"
00423414  push installer_1vs100.4AD538                                      "closebt"
00423456  push installer_1vs100.4AD52C                                      "minimizebt"
00423498  push installer_1vs100.4AD524                                      "left"
004234CD  push installer_1vs100.4AD51C                                      "right"
00423502  push installer_1vs100.4AD518                                      "top"
00423537  push installer_1vs100.4AD510                                      "bottom"
0042356C  push installer_1vs100.4AD524                                      "left"
004235A4  push installer_1vs100.4AD51C                                      "right"
004235DF  push installer_1vs100.4AD518                                      "top"
00423617  push installer_1vs100.4AD510                                      "bottom"
00423652  push installer_1vs100.4AD524                                      "left"
0042368D  push installer_1vs100.4AD51C                                      "right"
004236C8  push installer_1vs100.4AD518                                      "top"
00423703  push installer_1vs100.4AD510                                      "bottom"
0042373E  push installer_1vs100.4AD548                                      "skin"
00423A39  push installer_1vs100.4AD5E4                                      "failed to instantiate browser"
00423A7B  push installer_1vs100.4AD5C8                                      "failed to get ole interface"
00423AB2  push installer_1vs100.4AD5AC                                      "failed to set client site"
00423AF1  push installer_1vs100.4AD580                                      "failed to get connection point interface"
00423B43  push installer_1vs100.4AD560                                      "failed to find connection point"
00423C17  push installer_1vs100.4AD604                                      "DoVerb() failed"
00423C96  push installer_1vs100.4AD614                                      "Unexpected error in COM"
00424518  push installer_1vs100.4AD650                                      L"WM_ATLGETHOST"
0042451F  push installer_1vs100.4AD62C                                      L"WM_ATLGETCONTROL"
00424541  push installer_1vs100.4AC990                                      L"AtlAxWin100"
004245A5  mov dword ptr ss:[esp+40],installer_1vs100.4AC990                 L"AtlAxWin100"
004245F0  push installer_1vs100.4AC9A8                                      L"AtlAxWinLic100"
00424649  mov dword ptr ss:[esp+40],installer_1vs100.4AC9A8                 L"AtlAxWinLic100"
00424831  push installer_1vs100.4AD6B4                                      "Failed to instantiate COM Object"
00424874  push installer_1vs100.4AD690                                      "Failed to instantiate COM Object1"
004248B1  push installer_1vs100.4AD66C                                      "Failed to instantiate COM Object2"
004248E9  push installer_1vs100.4ACC04                                      L"http"
004249C3  push installer_1vs100.4AD964                                      "_acid"
00424B40  push installer_1vs100.4AD96C                                      L"open"
00424C2E  push installer_1vs100.4AD988                                      ".dat"
00424D4B  mov eax,installer_1vs100.4AD978                                   "--no-del-conf"
0042526D  push installer_1vs100.4AC1A8                                      "list<T> too long"
0042546C  push installer_1vs100.4AD990                                      ".dlcn"
004255C6  push installer_1vs100.4ADD7C                                      "contentid"
